Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Zeben,0.67,65.83,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.18,66.01,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.18,66.17,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.48,66.29,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.25,66.36,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,66.39,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.49,66.47,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,66.54,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.08,66.64,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.44,66.72,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,66.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.5,66.82,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.86,66.85,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.63,67.02,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.71,67.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,67.13,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.58,67.15,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.09,67.22,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.37,67.33,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.01,67.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.8,67.44,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.35,67.64,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.09,67.75,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,67.74,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,67.76,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,67.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,67.81,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.09,68.1,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.91,68.17,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.16,68.73,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.17,68.79,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.53,68.84,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.65,68.76,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.58,68.79,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,68.79,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.0,68.74,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.81,68.88,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,68.9,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.03,68.16,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.09,68.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,67.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,67.91,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.54,67.98,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.58,67.99,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,67.99,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.74,68.02,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.62,67.97,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.13,67.86,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.19,67.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.18,67.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.39,67.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.21,67.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.33,67.89,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.43,67.91,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,68.07,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.67,68.16,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,68.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.19,68.13,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,68.14,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.37,68.89,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,68.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.24,68.75,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.39,68.79,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.05,68.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.76,68.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.75,68.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.18,68.77,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.44,69.5,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,69.55,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,69.49,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,69.48,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.16,69.26,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,69.22,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.09,69.18,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.34,69.18,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.61,69.19,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,69.19,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,69.19,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,69.19,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,69.19,947.0,213.0,77.51,USBX,
