Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Patroclo,2.94,62.68,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.92,63.04,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,63.07,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,63.08,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.34,63.01,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.96,62.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.94,62.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.05,62.98,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.96,62.98,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,62.98,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.48,62.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.48,63.05,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,63.05,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.42,63.1,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.18,63.03,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,63.02,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.0,63.02,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,63.02,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,63.01,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.09,62.98,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.29,63.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.86,63.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.74,63.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.56,62.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.55,63.07,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,62.93,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.46,62.94,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,62.94,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,62.94,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.58,63.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.09,63.03,947.0,212.0,77.61,USBX,
