Sistema,Usuario,CPU (%),Memoria (%),Espacio en disco (GB),Espacio libre (GB),Porcentaje ocupado (%)
Windows 11,Zeben,3.01,70.27,947.00,205.00,78.35
Windows 11,Zeben,2.65,70.36,947.00,205.00,78.35
Windows 11,Zeben,4.28,70.52,947.00,205.00,78.35
Windows 11,Zeben,5.23,71.06,947.00,205.00,78.35
Windows 11,Zeben,3.04,70.82,947.00,205.00,78.35
Windows 11,Zeben,2.58,70.42,947.00,205.00,78.35
Windows 11,Zeben,1.51,70.46,947.00,205.00,78.35
Windows 11,Zeben,0.87,70.45,947.00,205.00,78.35
Windows 11,Zeben,0.56,70.40,947.00,205.00,78.35
Windows 11,Zeben,0.47,69.51,947.00,205.00,78.35
Windows 11,Zeben,3.47,69.71,947.00,205.00,78.35
Windows 11,Zeben,2.15,69.45,947.00,205.00,78.35
Windows 11,Zeben,2.07,69.49,947.00,205.00,78.35
Windows 11,Zeben,3.44,69.43,947.00,205.00,78.35
Windows 11,Zeben,3.33,69.54,947.00,205.00,78.35
Windows 11,Zeben,2.19,69.55,947.00,205.00,78.35
Windows 11,Zeben,0.56,69.34,947.00,205.00,78.35
Windows 11,Zeben,0.56,69.33,947.00,205.00,78.35
Windows 11,Zeben,0.75,69.51,947.00,205.00,78.35
Windows 11,Zeben,0.73,69.54,947.00,205.00,78.35
Windows 11,Zeben,1.58,69.54,947.00,205.00,78.35
Windows 11,Zeben,0.00,69.48,947.00,205.00,78.35
Windows 11,Zeben,0.75,68.60,947.00,205.00,78.35
Windows 11,Zeben,0.65,68.60,947.00,205.00,78.35
Windows 11,Zeben,1.72,68.68,947.00,205.00,78.35
Windows 11,Zeben,0.84,68.69,947.00,205.00,78.35
Windows 11,Zeben,0.76,68.69,947.00,205.00,78.35
Windows 11,Zeben,1.04,68.69,947.00,205.00,78.35
Windows 11,Zeben,5.72,69.06,947.00,205.00,78.35
Windows 11,Zeben,0.29,69.28,947.00,205.00,78.35
Windows 11,Zeben,4.05,69.50,947.00,205.00,78.35
Windows 11,Zeben,0.38,69.51,947.00,205.00,78.35
Windows 11,Zeben,3.20,70.04,947.00,205.00,78.35
Windows 11,Zeben,0.76,69.65,947.00,205.00,78.35
Windows 11,Zeben,4.26,69.85,947.00,205.00,78.35
Windows 11,Zeben,0.77,69.83,947.00,205.00,78.35
Windows 11,Zeben,1.41,69.71,947.00,205.00,78.35
Windows 11,Zeben,4.19,69.90,947.00,205.00,78.35
Windows 11,Zeben,1.96,69.89,947.00,205.00,78.35
Windows 11,Zeben,0.77,69.82,947.00,205.00,78.35
Windows 11,Zeben,1.90,69.76,947.00,205.00,78.35
Windows 11,Zeben,1.72,69.77,947.00,205.00,78.35
Windows 11,Zeben,1.26,69.87,947.00,205.00,78.35
Windows 11,Zeben,6.07,70.06,947.00,205.00,78.35
Windows 11,Zeben,3.49,70.43,947.00,205.00,78.35
Windows 11,Zeben,1.32,70.03,947.00,205.00,78.35
Windows 11,Zeben,0.66,69.64,947.00,205.00,78.35
Windows 11,Zeben,2.28,69.74,947.00,205.00,78.35
Windows 11,Zeben,0.46,69.51,947.00,205.00,78.35
Windows 11,Zeben,1.55,69.55,947.00,205.00,78.35
Windows 11,Zeben,2.66,69.55,947.00,205.00,78.35
Windows 11,Zeben,3.15,69.67,947.00,205.00,78.35
Windows 11,Zeben,7.75,70.04,947.00,205.00,78.35
Windows 11,Zeben,2.34,69.96,947.00,205.00,78.35
Windows 11,Zeben,1.21,70.62,947.00,205.00,78.35
Windows 11,Zeben,0.67,70.30,947.00,205.00,78.35
Windows 11,Zeben,1.22,70.53,947.00,205.00,78.35
Windows 11,Zeben,0.75,70.50,947.00,205.00,78.35
Windows 11,Zeben,1.59,70.04,947.00,205.00,78.35
Windows 11,Zeben,1.14,69.74,947.00,205.00,78.35
Windows 11,Zeben,0.38,69.71,947.00,205.00,78.35
Windows 11,Zeben,0.37,69.74,947.00,205.00,78.35
Windows 11,Zeben,1.32,69.74,947.00,205.00,78.35
Windows 11,Zeben,0.48,69.73,947.00,205.00,78.35
Windows 11,Zeben,1.12,69.16,947.00,205.00,78.35
Windows 11,Zeben,5.39,69.27,947.00,205.00,78.35
Windows 11,Zeben,2.77,69.34,947.00,205.00,78.35
Windows 11,Zeben,3.05,69.34,947.00,205.00,78.35
